id,student_id,commenter_id,commenter_name,content,created_at
30,30,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.175053
31,32,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.175317
32,34,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.175523
33,35,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.175744
34,35,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.175748
35,36,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.175949
36,36,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.175950
37,37,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.176056
38,37,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.176058
39,38,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.176260
40,38,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.176262
41,40,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.176601
42,41,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.176701
43,42,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.176886
44,42,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.176888
45,43,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.177058
46,43,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.177060
47,44,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.177271
48,45,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.177476
49,46,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.177677
50,46,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.177679
51,48,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.177994
52,49,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.178164
53,50,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.178365
54,50,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.178367
55,51,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.178466
56,52,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.178615
57,54,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.178976
58,57,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.179463
59,58,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.179616
60,59,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.179752
61,59,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.179754
62,60,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.179945
63,60,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.179947
64,61,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.180147
65,62,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.180881
66,64,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.181678
67,68,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.183462
68,69,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.183794
69,71,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.184356
70,74,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.184989
71,75,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.185202
72,75,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.185204
73,76,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.185361
74,76,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.185363
75,77,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.185558
76,78,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.185713
77,78,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.185715
78,79,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.185886
79,81,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.186301
80,81,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.186302
81,82,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.186503
82,82,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.186505
83,84,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.186855
84,84,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.186857
85,85,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.187051
86,86,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.187247
87,86,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.187251
88,88,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.187911
89,88,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.187913
90,89,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.188168
91,89,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.188173
92,90,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.188506
93,92,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.189303
94,92,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.189307
95,93,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.189535
96,94,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.189693
97,95,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.189907
98,95,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.189909
99,97,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.190329
100,97,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.190331
101,98,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.190538
102,99,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.190704
103,99,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.190706
104,100,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.190815
105,100,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.190817
106,101,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.191027
107,101,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.191029
108,102,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.191188
109,104,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.191498
110,106,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.191847
111,107,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.192051
112,107,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.192053
113,108,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.192207
114,109,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.192402
115,110,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.192553
116,110,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.192555
117,111,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.192707
118,111,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.192709
119,112,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.192808
120,112,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.192810
121,115,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.193301
122,115,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.193303
123,116,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.193455
124,116,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.193456
125,117,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.193651
126,117,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.193653
127,118,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.193846
128,120,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.194199
129,122,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.194841
130,123,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.195025
131,126,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.195840
132,127,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.196039
133,129,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.196439
134,129,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.196442
135,130,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.196742
136,131,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.196947
137,131,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.196949
138,133,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.197345
139,133,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.197347
140,134,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.197510
141,134,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.197512
142,135,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.197709
143,136,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.197912
144,136,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.197914
145,139,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.198401
146,139,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.198404
147,143,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.199143
148,144,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.199351
149,145,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.199547
150,146,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.199704
151,146,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.199706
152,147,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.199859
153,151,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.200503
154,151,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.200505
155,152,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.200707
156,152,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.200708
157,153,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.200840
158,153,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.200841
159,155,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.201192
160,156,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.201531
161,159,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.202047
162,159,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.202049
163,161,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.202388
164,161,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.202391
165,162,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.202614
166,163,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.202735
167,165,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.203076
168,165,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.203078
169,166,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.203246
170,166,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.203248
171,168,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.203892
172,168,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.203894
173,169,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.204059
174,171,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.204460
175,172,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.204573
176,172,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.204575
177,173,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.204821
178,173,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.204837
179,174,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.204945
180,174,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.204947
181,175,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.205202
182,177,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.205516
183,178,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.205738
184,180,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.206001
185,182,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.206306
186,182,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.206309
187,183,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.206513
188,183,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.206515
189,185,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.206811
190,185,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.206812
191,187,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.207099
192,188,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.207263
193,189,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.207457
194,190,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.207607
195,190,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.207608
196,191,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.207758
197,192,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.207958
198,192,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.207960
199,193,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.208164
200,193,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.208166
201,195,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.208809
202,195,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.208814
203,196,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.209023
204,196,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.209026
205,198,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.209423
206,198,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.209425
207,199,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.209654
208,200,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.209822
209,200,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.209824
210,201,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.209937
211,202,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.210141
212,202,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.210143
213,203,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.210303
214,204,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.210466
215,205,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.210617
216,205,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.210619
217,207,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.210909
218,207,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.210911
219,208,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.211058
220,208,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.211060
221,210,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.211317
222,212,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.211621
223,213,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.211777
224,214,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.211978
225,215,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.212175
226,216,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.212368
227,216,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.212370
228,220,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.212951
229,220,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.212953
230,221,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.213098
231,221,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.213100
232,222,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.213249
233,223,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.213448
234,223,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.213450
235,224,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.213640
236,224,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.213641
237,225,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.213826
238,226,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.213981
239,226,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.213983
240,227,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.214184
241,228,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.214382
242,228,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.214383
243,230,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.214683
244,231,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.214842
245,231,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.214844
246,232,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.215119
247,233,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.215248
248,234,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.215485
249,234,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.215487
250,235,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.215648
251,237,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.216021
252,238,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.216182
253,240,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.216448
254,240,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.216451
255,241,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.216553
256,241,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.216555
257,242,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.216720
258,243,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.216821
259,244,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.216974
260,244,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.216978
261,245,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.217179
262,246,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.217381
263,246,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.217383
264,248,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.217790
265,252,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.218332
266,252,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.218334
267,253,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.218493
268,254,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.218699
269,254,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.218701
270,255,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.218922
271,256,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.219059
272,256,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.219061
273,257,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.219213
274,257,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.219216
275,259,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.219414
276,259,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.219416
277,260,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.219620
278,262,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.219973
279,263,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.220135
280,264,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.220237
281,265,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.220404
282,265,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.220406
283,266,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.220570
284,266,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.220571
285,267,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.220782
286,267,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.220784
287,268,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.220883
288,268,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.220885
289,270,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.221257
290,272,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.221617
291,272,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.221618
292,273,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.221775
293,273,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.221777
294,274,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.221939
295,274,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.221941
296,276,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.222225
297,276,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.222228
298,278,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.222909
299,278,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.222912
300,279,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.223201
301,280,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.223433
302,280,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.223435
303,281,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.223679
304,281,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.223681
305,283,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.224072
306,283,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.224074
307,287,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.224926
308,288,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.225089
309,288,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.225091
310,289,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.225260
311,291,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.225616
312,292,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.225842
313,295,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.226373
314,295,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.226375
315,296,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.226524
316,296,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.226526
317,299,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.227057
318,299,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.227059
319,300,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.227222
320,300,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.227223
321,301,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.227377
322,302,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.227537
323,303,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.227682
324,303,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.227684
325,304,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.227896
326,304,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.227898
327,305,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.228054
328,307,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.228417
329,308,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.228625
330,308,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.228627
331,309,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.228879
332,309,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.228881
333,310,,Lecturer Ali,"Good progress, active in class.",2025-11-14T16:59:41.229061
334,313,,Lecturer Tan,Strong teamwork and communication skills.,2025-11-14T16:59:41.229827
335,314,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.230046
